GET /api/admin/broadcasts                     auth=current_admin,guard rate_limit=yes
POST /api/admin/broadcasts/preview            auth=current_admin,guard rate_limit=yes
POST /api/admin/broadcasts                    auth=current_admin,guard rate_limit=yes
POST /api/admin/broadcasts/{broadcast_id}/start auth=current_admin,guard rate_limit=yes
POST /api/admin/broadcasts/{broadcast_id}/cancel auth=current_admin,guard rate_limit=yes
GET /api/admin/admins                         auth=current_admin,guard rate_limit=yes
POST /api/admin/admins                        auth=current_admin,guard rate_limit=yes
PATCH /api/admin/admins/{tg_id}               auth=current_admin,guard rate_limit=yes
DELETE /api/admin/admins/{tg_id}              auth=current_admin,guard rate_limit=yes
GET /api/admin/audit                          auth=current_admin,guard rate_limit=yes
POST /api/jobs/chat/{agent}                   auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/jobs                                 auth=current_user rate_limit=-
GET /api/jobs/{task_id}                       auth=current_user rate_limit=-
